Path,Type,Size,Lines,Reviewed,ReviewDepth,RelatedFindings,ExclusionReason,Notes
.dockerignore,other,1171,50,COUNTED,-,QA-411,,misc root files counted
.env.example,other,6026,88,COUNTED,-,QA-411,,misc root files counted
.github/workflows/ci.yml,ci,5735,109,YES,FULL,QA-401; OPS-401,,.github/workflows full read incl. byte-level check
.gitignore,config/root,1063,78,YES,FULL,QA-404..409; PERF-403,,package.json/tsconfig/eslint/next.config/proxy/Caddyfile/gitignore full read
Caddyfile,config/root,1883,48,YES,FULL,QA-404..409; PERF-403,,package.json/tsconfig/eslint/next.config/proxy/Caddyfile/gitignore full read
Dockerfile,other,5160,81,COUNTED,-,QA-411,,misc root files counted
GOOGLE-OAUTH-SETUP.md,docs,5443,75,COUNTED,SUMMARY,OPS-402; OPS-403,,counted; production-deploy.md claims cross-checked in 3-d
bun.lock,config/root,334441,1791,YES,FULL,QA-404..409; PERF-403,,package.json/tsconfig/eslint/next.config/proxy/Caddyfile/gitignore full read
components.json,other,430,21,COUNTED,-,QA-411,,misc root files counted
db/custom.db,other,970752,,COUNTED,-,QA-411,,misc root files counted
deploy/Caddyfile.production,other,3423,72,COUNTED,-,QA-411,,misc root files counted
docs/postgres-migration.md,docs,4286,92,COUNTED,SUMMARY,OPS-402; OPS-403,,counted; production-deploy.md claims cross-checked in 3-d
docs/production-deploy.md,docs,10910,229,COUNTED,SUMMARY,OPS-402; OPS-403,,counted; production-deploy.md claims cross-checked in 3-d
eslint.config.mjs,config/root,2227,54,YES,FULL,QA-404..409; PERF-403,,package.json/tsconfig/eslint/next.config/proxy/Caddyfile/gitignore full read
next.config.ts,config/root,2887,77,YES,FULL,QA-404..409; PERF-403,,package.json/tsconfig/eslint/next.config/proxy/Caddyfile/gitignore full read
package.json,config/root,2962,87,YES,FULL,QA-404..409; PERF-403,,package.json/tsconfig/eslint/next.config/proxy/Caddyfile/gitignore full read
postcss.config.mjs,other,81,5,COUNTED,-,QA-411,,misc root files counted
prisma/migrations/0_init/migration.sql,prisma,35008,1047,YES,FULL,DB-401..429,,schema.prisma full read + migrations + data-quality on disposable copy (2-b)
